District,Number of Sub Centres,Number of  Primary Health Centres,Number of Community Health Centres,Sub Divisional Hospital,District Hospital,,
Ganderbal,42,15,1,0,1,,
Jammu,197,34,8,0,1,,
Kargil,60,2,4,0,1,,
Kathua,137,24,5,0,1,,
Kishtwar,39,7,1,0,1,,
Kulgam,81,19,3,0,1,,
Kupwara,141,33,7,0,1,,
Leh ,36,13,3,0,1,,
Ramban,39,9,3,0,1,,
Reasi,64,12,2,0,1,,
Pulwama,74,17,2,0,1,,
Poonch,102,17,3,0,1,,
Rajauri,140,22,7,0,1,,
Samba,75,11,3,0,1,,
Shopian,52,9,3,0,1,,
Udhampur,97,21,2,0,1,,
Bokaro,116,16,5,3,0,,
Chatra,93,11,6,0,1,,
Deoghar,181,5,7,1,1,,
Dhanbad,141,28,8,0,0,,
Dumka,258,36,10,0,1,,
E. Singhbhum,244,18,9,0,0,,
Garhwa,132,12,8,1,1,,
Giridih,181,15,12,0,1,,
Godda,185,10,7,0,1,,
Gumla,242,13,11,0,1,,
Hazaribagh,146,14,10,0,1,,
Jamtara,132,15,4,0,1,,
Koderma,65,6,4,0,1,,
Khunti,108,4,6,0,1,,
Latehar,97,10,7,0,1,,
Lohardaga,73,10,5,0,1,,
Pakur,121,9,6,0,1,,
Palamu,171,21,10,2,1,,
Ramgarh,54,5,4,0,1,,
Ranchi,365,28,13,1,1,,
Sahibganj,155,10,7,1,1,,
Saraikela,194,12,8,0,1,,
Simdega,162,7,7,0,1,,
W. Singhbhum,342,15,14,1,1,,
Bagalkot,234,50,7,5,1,,
Bangalore Urban,195,75,3,3,3,,
Bangalore Rural,167,47,1,4,0,,
Belgaum,549,154,16,9,1,,
Bellary,272,75,8,6,1,,
Bidar,279,53,6,4,1,,
Bijapur,309,68,8,4,1,,
Chikballapur,199,60,2,5,1,,
Chikmagalur,375,92,4,6,1,,
Chitradurga,283,89,10,5,1,,
Dharwad,194,32,0,3,1,,
Gadag,168,37,2,4,1,,
Gulbarga,347,89,16,6,1,,
Hassan,456,137,14,7,1,,
Haveri,303,72,5,6,1,,
Kodagu,206,32,6,2,1,,
Kolar,275,62,2,4,2,,
Koppal,185,47,8,3,1,,
Mandya,385,114,7,6,1,,
Mysore,438,140,9,6,0,,
Raichur,223,53,5,4,1,,
Shimoga,305,91,5,6,1,,
Tumkur,487,143,4,9,1,,
Udupi,301,73,7,2,1,,
Yadgir,176,46,5,2,1,,
Alappuzha,324,56,16,4,0,,
Idukki,276,40,14,3,0,,
Kannur,362,81,10,4,0,,
Kasaragod,220,40,9,2,0,,
Kollam,368,50,16,6,0,,
Kottayam,293,54,17,3,0,,
Kozhikode,354,61,16,4,0,,
