District code,District,Urban / rural,No:of villages inhabited,No:of villages uninhabited,Number of towns,Number of households,Total population,Males,Females,Area(In sq . km),Population per sq . Km
017,Ramban,Rural,127,2,0,"53,328","2,71,902","1,42,317","1,29,585",1313.92,207
017,Ramban,Urban,0,0,3,"2,162","11,811","6,815","4,996",15.08,783
018,Kishtwar,Total,155,2,1,"45,209","2,30,696","1,20,165","1,10,531",1644.00,140
018,Kishtwar,Rural,155,2,0,"42,499","2,15,831","1,11,986","1,03,845",1643.37,131
018,Kishtwar,Urban,0,0,1,"2,710","14,865","8,179","6,686",0.63,"23,595"
019,Udhampur,Total,325,6,6,"99,240","5,54,985","2,96,784","2,58,201",2637.00,210
019,Udhampur,Rural,325,6,0,"78,887","4,46,777","2,32,974","2,13,803",2593.28,172
019,Udhampur,Urban,0,0,6,"20,353","1,08,208","63,810","44,398",43.72,"2,475"
020,Reasi,Total,253,2,5,"56,689","3,14,667","1,66,461","1,48,206",1719.00,183
020,Reasi,Rural,253,2,0,"51,659","2,87,671","1,51,481","1,36,190",1679.99,171
020,Reasi,Urban,0,0,5,"5,030","26,996","14,980","12,016",39.01,692
021,Jammu,Total,780,72,20,"3,14,199","15,29,958","8,13,821","7,16,137",2342.00,653
021,Jammu,Rural,780,72,0,"1,59,291","7,64,945","4,01,603","3,63,342",2089.87,366
021,Jammu,Urban,0,0,20,"1,54,908","7,65,013","4,12,218","3,52,795",252.13,"3,034"
022,Samba,Total,345,31,6,"65,385","3,18,898","1,69,124","1,49,774",904.00,353
022,Samba,Rural,345,31,0,"54,718","2,65,283","1,39,365","1,25,918",865.24,307
022,Samba,Urban,0,0,6,"10,667","53,615","29,759","23,856",38.76,"1,383"
023,Chamba,Total,"1,110",481,5,"1,02,460","5,19,080","2,61,320","2,57,760",6522.00,80
023,Chamba,Rural,"1,110",481,0,"94,596","4,82,972","2,41,963","2,41,009",6501.26,74
023,Chamba,Urban,0,0,5,"7,864","36,108","19,357","16,751",20.74,"1,741"
024,Kangra,Total,"3,617",252,9,"3,38,887","15,10,075","7,50,591","7,59,484",5739.00,263
024,Kangra,Rural,"3,617",252,0,"3,18,379","14,23,794","7,05,365","7,18,429",5691.34,250
024,Kangra,Urban,0,0,9,"20,508","86,281","45,226","41,055",47.66,"1,810"
025,Lahul & Spiti,Total,280,241,0,"6,674","31,564","16,588","14,976",13841.00,2
025,Lahul & Spiti,Rural,280,241,0,"6,674","31,564","16,588","14,976",13841.00,2
025,Lahul & Spiti,Urban,0,0,0,0,0,0,0,0.00,0
026,Kullu,Total,314,12,5,"94,807","4,37,903","2,25,452","2,12,451",5503.00,80
026,Kullu,Rural,314,12,0,"84,358","3,96,512","2,03,269","1,93,243",5485.87,72
026,Kullu,Urban,0,0,5,"10,449","41,391","22,183","19,208",17.13,"2,416"
027,Mandi,Total,"2,850",488,5,"2,19,145","9,99,777","4,98,065","5,01,712",3950.00,253
027,Mandi,Rural,"2,850",488,0,"2,03,747","9,37,140","4,66,050","4,71,090",3922.26,239
027,Mandi,Urban,0,0,5,"15,398","62,637","32,015","30,622",27.74,"2,258"
028,Hamirpur,Total,"1,671",54,4,"1,05,519","4,54,768","2,17,070","2,37,698",1118.00,407
028,Hamirpur,Rural,"1,671",54,0,"98,115","4,23,338","2,00,748","2,22,590",1106.39,383
028,Hamirpur,Urban,0,0,4,"7,404","31,430","16,322","15,108",11.61,"2,707"
029,Una,Total,790,58,5,"1,10,332","5,21,173","2,63,692","2,57,481",1540.00,338
029,Una,Rural,790,58,0,"1,00,502","4,76,260","2,40,254","2,36,006",1519.51,313
029,Una,Urban,0,0,5,"9,830","44,913","23,438","21,475",20.49,"2,192"
030,Bilaspur,Total,953,108,4,"80,485","3,81,956","1,92,764","1,89,192",1167.00,327
030,Bilaspur,Rural,953,108,0,"74,712","3,56,827","1,79,653","1,77,174",1149.47,310
030,Bilaspur,Urban,0,0,4,"5,773","25,129","13,111","12,018",17.53,"1,433"
031,Solan,Total,"2,383",161,8,"1,22,425","5,80,320","3,08,754","2,71,566",1936.00,300
031,Solan,Rural,"2,383",161,0,"96,510","4,78,173","2,49,736","2,28,437",1902.63,251
031,Solan,Urban,0,0,8,"25,915","1,02,147","59,018","43,129",33.37,"3,061"
032,Sirmaur,Total,968,8,3,"98,208","5,29,855","2,76,289","2,53,566",2825.00,188
032,Sirmaur,Rural,968,8,0,"85,087","4,72,690","2,46,175","2,26,515",2805.88,168
032,Sirmaur,Urban,0,0,3,"13,121","57,165","30,114","27,051",19.12,"2,990"
033,Shimla,Total,"2,705",526,11,"1,84,362","8,14,010","4,25,039","3,88,971",5131.00,159
033,Shimla,Rural,"2,705",526,0,"1,29,854","6,12,659","3,14,295","2,98,364",5075.57,121
033,Shimla,Urban,0,0,11,"54,508","2,01,351","1,10,744","90,607",55.43,"3,633"
034,Kinnaur,Total,241,419,0,"19,976","84,121","46,249","37,872",6401.00,13
034,Kinnaur,Rural,241,419,0,"19,976","84,121","46,249","37,872",6401.00,13
034,Kinnaur,Urban,0,0,0,0,0,0,0,0.00,0
