District code,District,Urban / rural,No:of villages inhabited,No:of villages uninhabited,Number of towns,Number of households,Total population,Males,Females,Area(In sq . km),Population per sq . Km
092,North East,Total,8,1,15,"4,06,125","22,41,624","11,88,425","10,53,199",62.00,"36,155"
092,North East,Rural,8,1,0,"3,938","21,527","11,718","9,809",14.63,"1,471"
092,North East,Urban,0,0,15,"4,02,187","22,20,097","11,76,707","10,43,390",47.37,"46,867"
093,East,Total,1,0,7,"3,58,937","17,09,346","9,07,500","8,01,846",63.00,"27,132"
093,East,Rural,1,0,0,875,"3,530","1,861","1,669",0.27,"13,074"
093,East,Urban,0,0,7,"3,58,062","17,05,816","9,05,639","8,00,177",62.73,"27,193"
094,New Delhi,Total,0,0,0,"33,208","1,42,004","77,942","64,062",35.00,"4,057"
094,New Delhi,Rural,0,0,0,0,0,0,0,0.00,0
094,New Delhi,Urban,0,0,0,"33,208","1,42,004","77,942","64,062",35.00,"4,057"
095,Central,Total,0,0,0,"1,19,639","5,82,320","3,07,821","2,74,499",21.00,"27,730"
095,Central,Rural,0,0,0,0,0,0,0,0.00,0
095,Central,Urban,0,0,0,"1,19,639","5,82,320","3,07,821","2,74,499",21.00,"27,730"
096,West,Total,2,0,11,"5,33,221","25,43,243","13,56,240","11,87,003",130.00,"19,563"
096,West,Rural,2,0,0,"1,170","6,420","3,355","3,065",6.86,936
096,West,Urban,0,0,11,"5,32,051","25,36,823","13,52,885","11,83,938",123.14,"20,601"
097,South West,Total,39,2,19,"4,94,439","22,92,958","12,46,046","10,46,912",421.00,"5,446"
097,South West,Rural,39,2,0,"27,322","1,43,676","77,342","66,334",153.66,935
097,South West,Urban,0,0,19,"4,67,117","21,49,282","11,68,704","9,80,578",267.34,"8,040"
098,South,Total,3,0,23,"5,74,133","27,31,929","14,67,428","12,64,501",247.00,"11,060"
098,South,Rural,3,0,0,"2,457","12,193","6,819","5,374",13.15,927
098,South,Urban,0,0,23,"5,71,676","27,19,736","14,60,609","12,59,127",233.85,"11,630"
099,Ganganagar ,Total,"2,855",163,16,"3,87,511","19,69,168","10,43,340","9,25,828",10978.00,179
099,Ganganagar ,Rural,"2,855",163,0,"2,78,926","14,33,736","7,58,269","6,75,467",10879.88,132
099,Ganganagar ,Urban,0,0,16,"1,08,585","5,35,432","2,85,071","2,50,361",98.12,"5,457"
100,Hanumangarh,Total,"1,831",76,6,"3,36,192","17,74,692","9,31,184","8,43,508",9656.00,184
100,Hanumangarh,Rural,"1,831",76,0,"2,68,362","14,24,228","7,46,887","6,77,341",9582.26,149
100,Hanumangarh,Urban,0,0,6,"67,830","3,50,464","1,84,297","1,66,167",73.74,"4,753"
101,Bikaner,Total,857,62,6,"3,84,944","23,63,937","12,40,801","11,23,136",30239.00,78
101,Bikaner,Rural,857,62,0,"2,44,971","15,63,553","8,21,434","7,42,119",30028.81,52
101,Bikaner,Urban,0,0,6,"1,39,973","8,00,384","4,19,367","3,81,017",210.19,"3,808"
102,Churu,Total,873,26,10,"3,48,984","20,39,547","10,51,446","9,88,101",13835.00,147
102,Churu,Rural,873,26,0,"2,55,868","14,63,312","7,55,028","7,08,284",13632.34,107
102,Churu,Urban,0,0,10,"93,116","5,76,235","2,96,418","2,79,817",202.66,"2,843"
103,Jhunjhunun,Total,926,1,18,"3,84,197","21,37,045","10,95,896","10,41,149",5928.00,361
103,Jhunjhunun,Rural,926,1,0,"3,00,801","16,47,966","8,42,718","8,05,248",5658.74,291
103,Jhunjhunun,Urban,0,0,18,"83,396","4,89,079","2,53,178","2,35,901",269.26,"1,816"
104,Alwar,Total,"2,021",33,16,"6,39,720","36,74,179","19,39,026","17,35,153",8380.00,438
104,Alwar,Rural,"2,021",33,0,"5,11,517","30,19,728","15,89,508","14,30,220",8146.42,371
104,Alwar,Urban,0,0,16,"1,28,203","6,54,451","3,49,518","3,04,933",233.58,"2,802"
105,Bharatpur,Total,"1,432",92,10,"4,25,414","25,48,462","13,55,726","11,92,736",5066.00,503
105,Bharatpur,Rural,"1,432",92,0,"3,38,689","20,53,363","10,93,357","9,60,006",4916.38,418
105,Bharatpur,Urban,0,0,10,"86,725","4,95,099","2,62,369","2,32,730",149.62,"3,309"
106,Dhaulpur,Total,801,18,4,"2,03,754","12,06,516","6,53,647","5,52,869",3033.00,398
106,Dhaulpur,Rural,801,18,0,"1,62,180","9,59,066","5,20,930","4,38,136",2964.41,324
106,Dhaulpur,Urban,0,0,4,"41,574","2,47,450","1,32,717","1,14,733",68.59,"3,608"
107,Karauli,Total,851,37,4,"2,62,503","14,58,248","7,83,639","6,74,609",5524.00,264
107,Karauli,Rural,851,37,0,"2,24,570","12,40,143","6,68,185","5,71,958",5431.07,228
107,Karauli,Urban,0,0,4,"37,933","2,18,105","1,15,454","1,02,651",92.93,"2,347"
108,Sawai Madhopur,Total,758,56,4,"2,54,716","13,35,551","7,04,031","6,31,520",4498.00,297
108,Sawai Madhopur,Rural,758,56,0,"2,06,129","10,69,084","5,64,592","5,04,492",4378.40,244
108,Sawai Madhopur,Urban,0,0,4,"48,587","2,66,467","1,39,439","1,27,028",119.60,"2,228"
109,Dausa,Total,"1,079",30,5,"2,92,502","16,34,409","8,57,787","7,76,622",3432.00,476
109,Dausa,Rural,"1,079",30,0,"2,56,694","14,32,616","7,51,900","6,80,716",3391.54,422
109,Dausa,Urban,0,0,5,"35,808","2,01,793","1,05,887","95,906",40.46,"4,987"
110,Jaipur,Total,"2,126",54,19,"11,77,096","66,26,178","34,68,507","31,57,671",11143.00,595
110,Jaipur,Rural,"2,126",54,0,"5,07,803","31,54,331","16,42,924","15,11,407",10353.48,305
110,Jaipur,Urban,0,0,19,"6,69,293","34,71,847","18,25,583","16,46,264",789.52,"4,397"
111,Sikar,Total,"1,162",5,15,"4,44,816","26,77,333","13,74,990","13,02,343",7732.00,346
111,Sikar,Rural,"1,162",5,0,"3,45,160","20,43,427","10,47,469","9,95,958",7462.87,274
111,Sikar,Urban,0,0,15,"99,656","6,33,906","3,27,521","3,06,385",269.13,"2,355"
112,Nagaur,Total,"1,575",14,18,"5,78,809","33,07,743","16,96,325","16,11,418",17718.00,187
112,Nagaur,Rural,"1,575",14,0,"4,76,736","26,70,539","13,68,771","13,01,768",17298.26,154
112,Nagaur,Urban,0,0,18,"1,02,073","6,37,204","3,27,554","3,09,650",419.74,"1,518"
113,Jodhpur,Total,"1,836",2,7,"6,49,013","36,87,165","19,23,928","17,63,237",22850.00,161
113,Jodhpur,Rural,"1,836",2,0,"4,14,223","24,22,551","12,60,328","11,62,223",22594.18,107
113,Jodhpur,Urban,0,0,7,"2,34,790","12,64,614","6,63,600","6,01,014",255.82,"4,943"
114,Jaisalmer,Total,756,43,2,"1,17,171","6,69,919","3,61,708","3,08,211",38401.00,17
114,Jaisalmer,Rural,756,43,0,"1,00,427","5,80,894","3,12,447","2,68,447",38330.62,15
114,Jaisalmer,Urban,0,0,2,"16,744","89,025","49,261","39,764",70.38,"1,265"
115,Barmer,Total,"2,452",8,4,"4,51,629","26,03,751","13,69,022","12,34,729",28387.00,92
115,Barmer,Rural,"2,452",8,0,"4,18,990","24,21,914","12,73,249","11,48,665",28320.00,86
115,Barmer,Urban,0,0,4,"32,639","1,81,837","95,773","86,064",67.00,"2,714"
116,Jalor,Total,791,10,4,"3,26,134","18,28,730","9,36,634","8,92,096",10640.00,172
116,Jalor,Rural,791,10,0,"2,98,074","16,76,975","8,57,619","8,19,356",10582.57,158
116,Jalor,Urban,0,0,4,"28,060","1,51,755","79,015","72,740",57.43,"2,642"
117,Sirohi,Total,470,7,9,"2,01,785","10,36,346","5,34,231","5,02,115",5136.00,202
117,Sirohi,Rural,470,7,0,"1,59,265","8,27,692","4,24,252","4,03,440",5013.09,165
117,Sirohi,Urban,0,0,9,"42,520","2,08,654","1,09,979","98,675",122.91,"1,698"
118,Pali,Total,"1,017",13,11,"4,18,157","20,37,573","10,25,422","10,12,151",12387.00,164
118,Pali,Rural,"1,017",13,0,"3,29,510","15,77,567","7,87,559","7,90,008",11948.58,132
118,Pali,Urban,0,0,11,"88,647","4,60,006","2,37,863","2,22,143",438.42,"1,049"
119,Ajmer,Total,"1,099",12,11,"4,94,832","25,83,052","13,24,085","12,58,967",8481.00,305
119,Ajmer,Rural,"1,099",12,0,"2,93,744","15,47,642","7,89,397","7,58,245",8091.33,191
119,Ajmer,Urban,0,0,11,"2,01,088","10,35,410","5,34,688","5,00,722",389.67,"2,657"
120,Tonk,Total,"1,116",67,8,"2,66,870","14,21,326","7,28,136","6,93,190",7194.00,198
120,Tonk,Rural,"1,116",67,0,"2,12,126","11,03,603","5,68,045","5,35,558",6952.13,159
120,Tonk,Urban,0,0,8,"54,744","3,17,723","1,60,091","1,57,632",241.87,"1,314"
121,Bundi,Total,867,6,9,"2,20,768","11,10,906","5,77,160","5,33,746",5776.00,192
121,Bundi,Rural,867,6,0,"1,77,150","8,88,205","4,61,734","4,26,471",5596.31,159
121,Bundi,Urban,0,0,9,"43,618","2,22,701","1,15,426","1,07,275",179.69,"1,239"
122,Bhilwara,Total,"1,790",44,9,"4,98,125","24,08,523","12,20,736","11,87,787",10455.00,230
122,Bhilwara,Rural,"1,790",44,0,"3,94,065","18,95,869","9,55,378","9,40,491",10143.82,187
122,Bhilwara,Urban,0,0,9,"1,04,060","5,12,654","2,65,358","2,47,296",311.18,"1,647"
123,Rajsamand,Total,"1,037",13,9,"2,43,078","11,56,597","5,81,339","5,75,258",4655.00,248
123,Rajsamand,Rural,"1,037",13,0,"2,05,878","9,72,777","4,86,960","4,85,817",4488.84,217
123,Rajsamand,Urban,0,0,9,"37,200","1,83,820","94,379","89,441",166.16,"1,106"
124,Dungarpur,Total,972,4,4,"2,82,029","13,88,552","6,96,532","6,92,020",3770.00,368
124,Dungarpur,Rural,972,4,0,"2,63,075","12,99,809","6,51,046","6,48,763",3743.30,347
124,Dungarpur,Urban,0,0,4,"18,954","88,743","45,486","43,257",26.70,"3,324"
125,Banswara,Total,"1,485",28,4,"3,67,797","17,97,485","9,07,754","8,89,731",4522.00,397
125,Banswara,Rural,"1,485",28,0,"3,40,276","16,69,864","8,42,767","8,27,097",4494.25,372
125,Banswara,Urban,0,0,4,"27,521","1,27,621","64,987","62,634",27.75,"4,599"
126,Chittaurgarh,Total,"1,581",149,7,"3,29,119","15,44,338","7,83,171","7,61,167",7822.00,197
126,Chittaurgarh,Rural,"1,581",149,0,"2,69,332","12,59,074","6,36,415","6,22,659",7672.14,164
126,Chittaurgarh,Urban,0,0,7,"59,787","2,85,264","1,46,756","1,38,508",149.86,"1,904"
127,Kota,Total,805,69,11,"3,96,501","19,51,014","10,21,161","9,29,853",5217.00,374
127,Kota,Rural,805,69,0,"1,51,351","7,74,410","4,01,331","3,73,079",4590.49,169
127,Kota,Urban,0,0,11,"2,45,150","11,76,604","6,19,830","5,56,774",626.51,"1,878"
128,Baran,Total,"1,114",107,8,"2,41,428","12,22,755","6,33,945","5,88,810",6992.00,175
128,Baran,Rural,"1,114",107,0,"1,91,526","9,68,541","5,02,228","4,66,313",6846.71,141
128,Baran,Urban,0,0,8,"49,902","2,54,214","1,31,717","1,22,497",145.29,"1,750"
129,Jhalawar,Total,"1,488",118,9,"2,83,295","14,11,129","7,25,143","6,85,986",6219.00,227
129,Jhalawar,Rural,"1,488",118,0,"2,37,702","11,81,838","6,06,533","5,75,305",6109.11,193
129,Jhalawar,Urban,0,0,9,"45,593","2,29,291","1,18,610","1,10,681",109.89,"2,087"
130,Udaipur,Total,"2,471",8,17,"6,23,531","30,68,420","15,66,801","15,01,619",11724.00,262
130,Udaipur,Rural,"2,471",8,0,"4,95,973","24,59,994","12,51,316","12,08,678",11543.39,213
130,Udaipur,Urban,0,0,17,"1,27,558","6,08,426","3,15,485","2,92,941",180.61,"3,369"
131,Pratapgarh,Total,970,33,3,"1,78,726","8,67,848","4,37,744","4,30,104",4449.00,195
131,Pratapgarh,Rural,970,33,0,"1,63,810","7,96,041","4,01,171","3,94,870",4420.32,180
131,Pratapgarh,Urban,0,0,3,"14,916","71,807","36,573","35,234",28.68,"2,504"
132,Saharanpur,Total,"1,243",329,16,"5,97,656","34,66,382","18,34,106","16,32,276",3689.00,940
132,Saharanpur,Rural,"1,243",329,0,"4,08,198","23,99,856","12,69,803","11,30,053",3582.67,670
132,Saharanpur,Urban,0,0,16,"1,89,458","10,66,526","5,64,303","5,02,223",106.33,"10,030"
133,Muzaffarnagar,Total,880,139,27,"6,76,642","41,43,512","21,93,434","19,50,078",4008.00,"1,034"
133,Muzaffarnagar,Rural,880,139,0,"4,75,749","29,52,200","15,65,004","13,87,196",3867.59,763
133,Muzaffarnagar,Urban,0,0,27,"2,00,893","11,91,312","6,28,430","5,62,882",140.41,"8,485"
134,Bijnor,Total,"2,186",798,26,"6,33,197","36,82,713","19,21,215","17,61,498",4561.00,807
134,Bijnor,Rural,"2,186",798,0,"4,78,997","27,57,401","14,38,412","13,18,989",4451.28,619
134,Bijnor,Urban,0,0,26,"1,54,200","9,25,312","4,82,803","4,42,509",109.72,"8,433"
135,Moradabad,Total,"1,550",243,17,"7,96,170","47,72,006","25,03,186","22,68,820",3718.00,"1,283"
135,Moradabad,Rural,"1,550",243,0,"5,22,763","31,98,383","16,80,022","15,18,361",3569.67,896
135,Moradabad,Urban,0,0,17,"2,73,407","15,73,623","8,23,164","7,50,459",148.33,"10,609"
136,Rampur,Total,"1,108",55,10,"3,93,736","23,35,819","12,23,889","11,11,930",2367.00,987
136,Rampur,Rural,"1,108",55,0,"2,90,515","17,47,172","9,16,878","8,30,294",2265.24,771
136,Rampur,Urban,0,0,10,"1,03,221","5,88,647","3,07,011","2,81,636",101.76,"5,785"
137,Jyotiba Phule Nagar,Total,959,164,9,"3,14,401","18,40,221","9,63,449","8,76,772",2249.00,818
137,Jyotiba Phule Nagar,Rural,959,164,0,"2,35,417","13,81,508","7,24,539","6,56,969",2189.51,631
137,Jyotiba Phule Nagar,Urban,0,0,9,"78,984","4,58,713","2,38,910","2,19,803",59.49,"7,711"
138,Meerut,Total,604,59,18,"5,79,110","34,43,689","18,25,743","16,17,946",2559.00,"1,346"
138,Meerut,Rural,604,59,0,"2,71,679","16,84,507","8,94,920","7,89,587",2300.83,732
138,Meerut,Urban,0,0,18,"3,07,431","17,59,182","9,30,823","8,28,359",258.17,"6,814"
139,Baghpat,Total,290,25,8,"2,09,916","13,03,048","7,00,070","6,02,978",1321.00,986
139,Baghpat,Rural,290,25,0,"1,64,494","10,28,023","5,53,807","4,74,216",1271.92,808
139,Baghpat,Urban,0,0,8,"45,422","2,75,025","1,46,263","1,28,762",49.08,"5,604"
140,Ghaziabad,Total,511,36,26,"8,50,676","46,81,645","24,88,834","21,92,811",1179.00,"3,971"
140,Ghaziabad,Rural,511,36,0,"2,48,050","15,19,098","8,08,222","7,10,876",777.91,"1,953"
140,Ghaziabad,Urban,0,0,26,"6,02,626","31,62,547","16,80,612","14,81,935",401.09,"7,885"
141,Gautam Buddha Nagar,Total,304,16,13,"3,27,090","16,48,115","8,90,214","7,57,901",1282.00,"1,286"
141,Gautam Buddha Nagar,Rural,304,16,0,"1,11,916","6,73,806","3,59,605","3,14,201",1093.85,616
141,Gautam Buddha Nagar,Urban,0,0,13,"2,15,174","9,74,309","5,30,609","4,43,700",188.15,"5,178"
142,Bulandshahr ,Total,"1,174",68,21,"5,87,529","34,99,171","18,45,260","16,53,911",4512.00,776
142,Bulandshahr ,Rural,"1,174",68,0,"4,40,668","26,31,742","13,90,490","12,41,252",4338.49,607
142,Bulandshahr ,Urban,0,0,21,"1,46,861","8,67,429","4,54,770","4,12,659",173.51,"4,999"
143,Aligarh,Total,"1,170",29,24,"6,11,371","36,73,889","19,51,996","17,21,893",3650.00,"1,007"
143,Aligarh,Rural,"1,170",29,0,"4,07,034","24,56,698","13,08,923","11,47,775",3423.12,718
143,Aligarh,Urban,0,0,24,"2,04,337","12,17,191","6,43,073","5,74,118",226.88,"5,365"
144,Mahamaya Nagar,Total,655,14,12,"2,60,860","15,64,708","8,36,127","7,28,581",1840.00,850
144,Mahamaya Nagar,Rural,655,14,0,"2,04,827","12,32,015","6,59,814","5,72,201",1794.11,687
144,Mahamaya Nagar,Urban,0,0,12,"56,033","3,32,693","1,76,313","1,56,380",45.89,"7,250"
145,Mathura,Total,730,144,25,"4,23,125","25,47,184","13,67,125","11,80,059",3340.00,763
145,Mathura,Rural,730,144,0,"2,92,881","17,91,191","9,62,028","8,29,163",3185.74,562
145,Mathura,Urban,0,0,25,"1,30,244","7,55,993","4,05,097","3,50,896",154.26,"4,901"
146,Agra,Total,893,36,27,"7,10,566","44,18,797","23,64,953","20,53,844",4041.00,"1,093"
146,Agra,Rural,893,36,0,"3,71,791","23,94,602","12,85,184","11,09,418",3793.04,631
146,Agra,Urban,0,0,27,"3,38,775","20,24,195","10,79,769","9,44,426",247.96,"8,163"
147,Firozabad,Total,790,17,9,"4,14,266","24,98,156","13,32,046","11,66,110",2407.00,"1,038"
147,Firozabad,Rural,790,17,0,"2,74,897","16,64,987","8,91,872","7,73,115",2343.99,710
147,Firozabad,Urban,0,0,9,"1,39,369","8,33,169","4,40,174","3,92,995",63.01,"13,223"
148,Mainpuri,Total,820,31,9,"3,13,690","18,68,529","9,93,377","8,75,152",2760.00,677
148,Mainpuri,Rural,820,31,0,"2,63,503","15,80,087","8,42,374","7,37,713",2670.98,592
148,Mainpuri,Urban,0,0,9,"50,187","2,88,442","1,51,003","1,37,439",89.02,"3,240"
149,Budaun,Total,"1,785",276,23,"6,15,776","36,81,896","19,67,759","17,14,137",5168.00,712
149,Budaun,Rural,"1,785",276,0,"5,05,491","30,37,301","16,30,376","14,06,925",4985.13,609
149,Budaun,Urban,0,0,23,"1,10,285","6,44,595","3,37,383","3,07,212",182.87,"3,525"
150,Bareilly,Total,"1,855",196,31,"7,56,784","44,48,359","23,57,665","20,90,694",4120.00,"1,080"
150,Bareilly,Rural,"1,855",196,0,"4,81,039","28,79,950","15,30,356","13,49,594",3841.93,750
150,Bareilly,Urban,0,0,31,"2,75,745","15,68,409","8,27,309","7,41,100",278.07,"5,640"
151,Pilibhit,Total,"1,295",140,11,"3,62,573","20,31,007","10,72,002","9,59,005",3686.00,551
151,Pilibhit,Rural,"1,295",140,0,"2,99,026","16,79,592","8,86,789","7,92,803",3640.78,461
151,Pilibhit,Urban,0,0,11,"63,547","3,51,415","1,85,213","1,66,202",45.22,"7,771"
152,Shahjahanpur,Total,"2,088",240,11,"5,27,501","30,06,538","16,06,403","14,00,135",4388.00,685
152,Shahjahanpur,Rural,"2,088",240,0,"4,25,057","24,12,446","12,93,714","11,18,732",4306.93,560
152,Shahjahanpur,Urban,0,0,11,"1,02,444","5,94,092","3,12,689","2,81,403",81.07,"7,328"
153,Kheri,Total,"1,706",88,14,"7,45,077","40,21,243","21,23,187","18,98,056",7680.00,524
153,Kheri,Rural,"1,706",88,0,"6,61,245","35,60,208","18,80,679","16,79,529",7592.03,469
153,Kheri,Urban,0,0,14,"83,832","4,61,035","2,42,508","2,18,527",87.97,"5,241"
154,Sitapur,Total,"2,317",31,12,"8,01,764","44,83,992","23,75,264","21,08,728",5743.00,781
154,Sitapur,Rural,"2,317",31,0,"7,14,655","39,53,208","20,98,123","18,55,085",5636.33,701
154,Sitapur,Urban,0,0,12,"87,109","5,30,784","2,77,141","2,53,643",106.67,"4,976"
155,Hardoi,Total,"1,907",163,13,"7,30,442","40,92,845","21,91,442","19,01,403",5986.00,684
155,Hardoi,Rural,"1,907",163,0,"6,38,627","35,51,039","19,06,147","16,44,892",5837.84,608
155,Hardoi,Urban,0,0,13,"91,815","5,41,806","2,85,295","2,56,511",148.16,"3,657"
156,Unnao,Total,"1,693",102,21,"5,88,533","31,08,367","16,30,087","14,78,280",4558.00,682
156,Unnao,Rural,"1,693",102,0,"4,91,106","25,76,721","13,51,897","12,24,824",4469.19,577
156,Unnao,Urban,0,0,21,"97,427","5,31,646","2,78,190","2,53,456",88.81,"5,986"
157,Lucknow,Total,803,4,12,"8,60,703","45,89,838","23,94,476","21,95,362",2528.00,"1,816"
157,Lucknow,Rural,803,4,0,"2,83,193","15,50,842","8,13,752","7,37,090",2057.29,754
157,Lucknow,Urban,0,0,12,"5,77,510","30,38,996","15,80,724","14,58,272",470.71,"6,456"
158,Rae Bareli,Total,"1,733",40,9,"6,19,707","34,05,559","17,52,542","16,53,017",4609.00,739
158,Rae Bareli,Rural,"1,733",40,0,"5,65,776","30,97,564","15,92,449","15,05,115",4532.51,683
158,Rae Bareli,Urban,0,0,9,"53,931","3,07,995","1,60,093","1,47,902",76.49,"4,027"
159,Farrukhabad,Total,872,133,9,"3,14,144","18,85,204","10,06,240","8,78,964",2181.00,864
159,Farrukhabad,Rural,872,133,0,"2,42,119","14,69,019","7,85,301","6,83,718",2132.64,689
159,Farrukhabad,Urban,0,0,9,"72,025","4,16,185","2,20,939","1,95,246",48.36,"8,606"
160,Kannauj,Total,688,64,8,"2,80,928","16,56,616","8,81,776","7,74,840",2093.00,792
160,Kannauj,Rural,688,64,0,"2,33,746","13,75,775","7,34,245","6,41,530",2018.82,681
160,Kannauj,Urban,0,0,8,"47,182","2,80,841","1,47,531","1,33,310",74.18,"3,786"
161,Etawah,Total,686,6,6,"2,77,527","15,81,810","8,45,856","7,35,954",2311.00,684
161,Etawah,Rural,686,6,0,"2,13,548","12,15,511","6,52,740","5,62,771",2260.42,538
161,Etawah,Urban,0,0,6,"63,979","3,66,299","1,93,116","1,73,183",50.58,"7,242"
162,Auraiya,Total,769,70,9,"2,48,197","13,79,545","7,40,040","6,39,505",2016.00,684
162,Auraiya,Rural,769,70,0,"2,06,164","11,45,323","6,16,494","5,28,829",1952.63,587
162,Auraiya,Urban,0,0,9,"42,033","2,34,222","1,23,546","1,10,676",63.37,"3,696"
163,Kanpur Dehat,Total,966,63,12,"3,29,817","17,96,184","9,63,255","8,32,929",3021.00,595
163,Kanpur Dehat,Rural,966,63,0,"2,98,833","16,22,761","8,71,508","7,51,253",2940.14,552
163,Kanpur Dehat,Urban,0,0,12,"30,984","1,73,423","91,747","81,676",80.86,"2,145"
164,Kanpur Nagar,Total,902,101,10,"8,63,338","45,81,268","24,59,806","21,21,462",3155.00,"1,452"
164,Kanpur Nagar,Rural,902,101,0,"2,93,376","15,65,623","8,37,260","7,28,363",2832.16,553
164,Kanpur Nagar,Urban,0,0,10,"5,69,962","30,15,645","16,22,546","13,93,099",322.84,"9,341"
165,Jalaun ,Total,942,209,10,"2,88,338","16,89,974","9,06,092","7,83,882",4565.00,370
165,Jalaun ,Rural,942,209,0,"2,16,570","12,71,074","6,83,656","5,87,418",4491.48,283
165,Jalaun ,Urban,0,0,10,"71,768","4,18,900","2,22,436","1,96,464",73.52,"5,698"
166,Jhansi,Total,745,71,19,"3,67,779","19,98,603","10,57,436","9,41,167",5024.00,398
166,Jhansi,Rural,745,71,0,"2,15,843","11,65,119","6,15,629","5,49,490",4744.05,246
166,Jhansi,Urban,0,0,19,"1,51,936","8,33,484","4,41,807","3,91,677",279.95,"2,977"
167,Lalitpur,Total,691,61,6,"2,22,094","12,21,592","6,41,011","5,80,581",5039.00,242
167,Lalitpur,Rural,691,61,0,"1,89,543","10,46,214","5,49,478","4,96,736",4997.74,209
167,Lalitpur,Urban,0,0,6,"32,551","1,75,378","91,533","83,845",41.26,"4,251"
168,Hamirpur,Total,497,130,7,"2,04,863","11,04,285","5,93,537","5,10,748",4021.00,275
168,Hamirpur,Rural,497,130,0,"1,66,700","8,94,437","4,81,373","4,13,064",3987.49,224
168,Hamirpur,Urban,0,0,7,"38,163","2,09,848","1,12,164","97,684",33.51,"6,262"
169,Mahoba,Total,435,86,5,"1,58,435","8,75,958","4,66,358","4,09,600",3144.00,279
169,Mahoba,Rural,435,86,0,"1,24,678","6,90,577","3,68,009","3,22,568",3116.09,222
169,Mahoba,Urban,0,0,5,"33,757","1,85,381","98,349","87,032",27.91,"6,642"
170,Banda,Total,657,37,8,"3,19,963","17,99,410","9,65,876","8,33,534",4408.00,408
170,Banda,Rural,657,37,0,"2,70,245","15,23,655","8,19,243","7,04,412",4347.72,350
170,Banda,Urban,0,0,8,"49,718","2,75,755","1,46,633","1,29,122",60.28,"4,575"
171,Chitrakoot,Total,562,94,4,"1,68,232","9,91,730","5,27,721","4,64,009",3216.00,308
171,Chitrakoot,Rural,562,94,0,"1,51,278","8,95,398","4,76,794","4,18,604",3187.23,281
171,Chitrakoot,Urban,0,0,4,"16,954","96,332","50,927","45,405",28.77,"3,348"
172,Fatehpur,Total,"1,352",163,7,"4,72,238","26,32,733","13,84,722","12,48,011",4152.00,634
172,Fatehpur,Rural,"1,352",163,0,"4,14,578","23,10,740","12,15,690","10,95,050",4064.99,568
172,Fatehpur,Urban,0,0,7,"57,660","3,21,993","1,69,032","1,52,961",87.01,"3,701"
173,Pratapgarh,Total,"2,183",34,9,"5,33,546","32,09,141","16,06,085","16,03,056",3717.00,863
173,Pratapgarh,Rural,"2,183",34,0,"5,05,129","30,33,899","15,15,583","15,18,316",3669.13,827
173,Pratapgarh,Urban,0,0,9,"28,417","1,75,242","90,502","84,740",47.87,"3,661"
174,Kaushambi,Total,729,139,9,"2,77,851","15,99,596","8,38,485","7,61,111",1779.00,899
174,Kaushambi,Rural,729,139,0,"2,56,198","14,75,140","7,73,335","7,01,805",1721.83,857
174,Kaushambi,Urban,0,0,9,"21,653","1,24,456","65,150","59,306",57.17,"2,177"
175,Allahabad ,Total,"2,809",244,25,"9,76,733","59,54,391","31,31,807","28,22,584",5482.00,"1,086"
175,Allahabad ,Rural,"2,809",244,0,"7,21,011","44,81,518","23,40,959","21,40,559",5279.07,849
175,Allahabad ,Urban,0,0,25,"2,55,722","14,72,873","7,90,848","6,82,025",202.93,"7,258"
176,Bara Banki,Total,"1,817",22,15,"5,79,058","32,60,699","17,07,073","15,53,626",4402.00,741
176,Bara Banki,Rural,"1,817",22,0,"5,24,255","29,29,896","15,33,455","13,96,441",4337.13,676
176,Bara Banki,Urban,0,0,15,"54,803","3,30,803","1,73,618","1,57,185",64.87,"5,099"
177,Faizabad,Total,"1,235",29,10,"4,23,375","24,70,996","12,59,628","12,11,368",2341.00,"1,056"
177,Faizabad,Rural,"1,235",29,0,"3,65,711","21,30,743","10,79,257","10,51,486",2266.23,940
177,Faizabad,Urban,0,0,10,"57,664","3,40,253","1,80,371","1,59,882",74.77,"4,551"
178,Ambedkar Nagar,Total,"1,649",101,7,"3,68,728","23,97,888","12,12,410","11,85,478",2350.00,"1,020"
178,Ambedkar Nagar,Rural,"1,649",101,0,"3,25,035","21,17,158","10,67,762","10,49,396",2255.08,939
178,Ambedkar Nagar,Urban,0,0,7,"43,693","2,80,730","1,44,648","1,36,082",94.92,"2,958"
179,Sultanpur,Total,"2,498",29,11,"6,23,523","37,97,117","19,14,586","18,82,531",4436.00,856
