District code,District,Urban / rural,No:of villages inhabited,No:of villages uninhabited,Number of towns,Number of households,Total population,Males,Females,Area(In sq . km),Population per sq . Km,Number of Sub Centres,Number of  Primary Health Centres,Number of Community Health Centres,Sub Divisional Hospital,District Hospital
280,Chandel,Total,430,7,1,"28,801","1,44,182","74,579","69,603",3313.0,44,26,5,0,1,1
281,Mamit,Total,86,37,3,"17,731","86,364","44,828","41,536",3025.0,29,30,7,1,0,1
282,Kolasib,Total,34,15,4,"17,270","83,955","42,918","41,037",1382.0,61,29,5,1,0,1
284,Champhai,Total,83,7,4,"25,520","1,25,745","63,388","62,357",3185.0,39,59,11,2,0,1
285,Serchhip,Total,35,5,3,"12,622","64,937","32,851","32,086",1421.0,46,26,5,1,0,1
286,Lunglei,Total,161,34,3,"33,058","1,61,428","82,891","78,537",4536.0,36,71,9,1,1,1
287,Lawngtlai,Total,159,9,1,"22,984","1,17,894","60,599","57,295",2557.0,46,37,6,1,0,1
288,Saiha,Total,52,9,1,"11,144","56,574","28,594","27,980",1399.0,40,24,4,0,0,1
289,West Tripura ,Total,281,6,21,"4,10,565","17,25,739","8,79,428","8,46,311",2993.0,577,283,24,6,3,0
290,South Tripura ,Total,268,2,10,"2,08,127","8,76,001","4,47,544","4,28,457",3057.0,287,169,25,3,3,1
291,Dhalai,Total,148,4,4,"84,509","3,78,230","1,94,544","1,83,686",2400.0,158,70,11,1,3,0
292,North Tripura,Total,166,0,7,"1,52,355","6,93,947","3,52,860","3,41,087",2036.0,341,110,19,1,2,1
293,West Garo Hills,Total,"1,577",86,1,"1,23,352","6,43,291","3,24,159","3,19,132",3677.0,175,82,18,7,0,2
294,East Garo Hills,Total,"1,058",52,2,"58,328","3,17,917","1,61,223","1,56,694",2603.0,122,73,16,2,0,1
295,South Garo Hills,Total,731,73,1,"24,527","1,42,334","73,170","69,164",1887.0,75,21,7,1,0,1
296,West Khasi Hills,Total,"1,093",22,2,"64,906","3,83,461","1,93,715","1,89,746",5247.0,73,61,19,5,0,2
298,East Khasi Hills,Total,923,52,13,"1,64,046","8,25,922","4,10,749","4,15,173",2748.0,301,66,23,6,0,2
299,Jaintia Hills,Total,498,39,1,"66,028","3,95,124","1,96,285","1,98,839",3819.0,103,76,18,5,0,1
300,Kokrajhar,Total,"1,053",15,4,"1,81,081","8,87,142","4,52,905","4,34,237",3296.0,269,159,45,4,1,1
301,Dhubri,Total,"1,052",39,9,"4,14,674","19,49,258","9,97,848","9,51,410",2176.0,896,246,44,6,1,1
302,Goalpara,Total,779,50,11,"1,98,454","10,08,183","5,13,292","4,94,891",1824.0,553,151,41,2,0,1
303,Barpeta,Total,825,10,9,"3,37,929","16,93,622","8,67,004","8,26,618",2282.0,742,264,50,7,1,1
304,Morigaon,Total,598,34,6,"1,84,602","9,57,423","4,86,651","4,70,772",1551.0,617,123,29,2,0,1
306,Sonitpur,Total,"1,798",78,8,"3,92,919","19,24,110","9,83,904","9,40,206",5204.0,370,279,53,3,2,1
307,Lakhimpur,Total,"1,146",38,4,"2,04,307","10,42,137","5,29,674","5,12,463",2277.0,458,156,28,5,1,1
308,Dhemaji,Total,"1,264",55,4,"1,29,869","6,86,133","3,51,249","3,34,884",3237.0,212,98,21,3,0,1
309,Tinsukia,Total,"1,136",32,13,"2,68,598","13,27,929","6,80,231","6,47,698",3790.0,350,164,19,5,0,1
310,Dibrugarh,Total,"1,318",30,9,"2,76,867","13,26,335","6,76,434","6,49,901",3381.0,392,231,28,5,0,0
311,Sivasagar,Total,862,13,7,"2,48,367","11,51,050","5,89,216","5,61,834",2668.0,431,219,43,2,2,1
312,Jorhat,Total,763,85,11,"2,36,262","10,92,256","5,56,805","5,35,451",2851.0,383,143,41,3,2,0
313,Golaghat,Total,"1,032",93,7,"2,27,197","10,66,888","5,43,161","5,23,727",3502.0,305,144,42,4,1,1
314,Karbi Anglong,Total,"2,712",209,7,"1,77,646","9,56,313","4,90,167","4,66,146",10434.0,92,145,47,5,1,1
316,Cachar,Total,998,42,19,"3,79,955","17,36,617","8,86,284","8,50,333",3786.0,459,269,30,1,0,1
317,Karimganj,Total,915,21,7,"2,47,714","12,28,686","6,25,864","6,02,822",1809.0,679,217,23,1,0,1
318,Hailakandi,Total,330,1,3,"1,43,350","6,59,296","3,37,890","3,21,406",1327.0,497,105,12,2,0,1
319,Bongaigaon,Total,535,28,5,"1,50,018","7,38,804","3,75,818","3,62,986",1093.0,676,87,30,2,0,1
320,Chirang,Total,501,7,3,"97,395","4,82,162","2,44,860","2,37,302",1923.0,251,76,24,2,0,1
324,Baksa,Total,679,11,2,"1,91,701","9,50,075","4,81,330","4,68,745",2457.0,387,157,40,5,0,0
325,Darrang,Total,552,9,3,"1,87,783","9,28,500","4,75,273","4,53,227",1585.0,586,163,31,4,0,1
326,Udalguri,Total,791,9,3,"1,68,717","8,31,668","4,21,617","4,10,051",2012.0,413,142,23,3,0,1
327,Darjiling ,Total,616,71,29,"3,91,234","18,46,823","9,37,259","9,09,564",3149.0,586,230,22,12,0,0
328,Jalpaiguri ,Total,718,15,39,"8,68,326","38,72,846","19,83,064","18,89,782",6227.0,622,537,38,14,0,0
329,Koch Bihar ,Total,"1,132",62,18,"6,65,720","28,19,086","14,51,542","13,67,544",3387.0,832,406,29,12,0,0
332,Maldah ,Total,"1,613",158,29,"8,46,991","39,88,845","20,51,541","19,37,304",3733.0,"1,069",511,35,15,0,0
333,Murshidabad ,Total,"1,886",280,72,"15,70,759","71,03,807","36,27,564","34,76,243",5324.0,"1,334",832,69,27,0,0
334,Birbhum,Total,"2,242",213,20,"8,17,899","35,02,404","17,90,920","17,11,484",4545.0,771,484,58,19,0,0
335,Barddhaman ,Total,"2,418",84,96,"17,30,927","77,17,563","39,66,889","37,50,674",7024.0,"1,099",765,104,35,0,0
338,Hugli ,Total,"1,842",24,77,"12,87,423","55,19,145","28,14,653","27,04,492",3149.0,"1,753",660,59,18,0,0
339,Bankura ,Total,"3,585",238,12,"7,66,902","35,96,674","18,38,095","17,58,579",6882.0,523,564,69,22,0,0
340,Puruliya,Total,"2,459",208,28,"5,67,824","29,30,115","14,96,996","14,33,119",6259.0,468,485,52,20,0,0
341,Haora ,Total,644,6,138,"10,61,336","48,50,029","25,00,819","23,49,210",1467.0,"3,306",448,41,15,0,0
346,Garhwa ,Total,844,44,3,"2,54,697","13,22,784","6,83,575","6,39,209",4093.0,323,132,12,8,1,1
347,Chatra,Total,"1,377",94,2,"1,82,271","10,42,886","5,33,935","5,08,951",3718.0,280,93,11,6,0,1
349,Giridih,Total,"2,558",191,12,"3,96,521","24,45,474","12,58,098","11,87,376",4962.0,493,181,15,12,0,1
350,Deoghar,Total,"2,354",308,2,"2,64,347","14,92,073","7,75,022","7,17,051",2477.0,602,181,5,7,1,1
351,Godda,Total,"1,688",614,3,"2,53,648","13,13,551","6,77,927","6,35,624",2266.0,580,185,10,7,0,1
352,Sahibganj,Total,"1,349",464,8,"2,27,023","11,50,567","5,89,391","5,61,176",2063.0,558,155,10,7,1,1
353,Pakur,Total,"1,141",106,4,"1,82,317","9,00,422","4,52,661","4,47,761",1811.0,497,121,9,6,0,1
354,Dhanbad,Total,"1,075",84,46,"5,07,064","26,84,487","14,05,956","12,78,531",2040.0,"1,316",141,28,8,0,0
355,Bokaro,Total,611,24,27,"3,94,918","20,62,330","10,72,807","9,89,523",2883.0,715,116,16,5,3,0
356,Lohardaga,Total,352,1,1,"88,638","4,61,790","2,32,629","2,29,161",1502.0,307,73,10,5,0,1
358,Palamu,Total,"1,711",159,9,"3,58,754","19,39,869","10,06,302","9,33,567",4393.0,442,171,21,10,2,1
359,Latehar,Total,749,20,4,"1,33,381","7,26,978","3,69,666","3,57,312",4291.0,169,97,10,7,0,1
360,Hazaribagh,Total,"1,193",115,17,"3,04,749","17,34,495","8,90,881","8,43,614",3555.0,488,146,14,10,0,1
361,Ramgarh,Total,305,10,23,"1,79,375","9,49,443","4,94,230","4,55,213",1341.0,708,54,5,4,0,1
362,Dumka,Total,"2,688",237,5,"2,75,019","13,21,442","6,68,514","6,52,928",3761.0,351,258,36,10,0,1
363,Jamtara,Total,"1,082",79,3,"1,55,275","7,91,042","4,04,830","3,86,212",1811.0,437,132,15,4,0,1
364,Ranchi,Total,"1,296",15,15,"5,69,444","29,14,253","14,94,937","14,19,316",5097.0,572,365,28,13,1,1
365,Khunti,Total,754,2,2,"1,03,700","5,31,885","2,66,335","2,65,550",2535.0,210,108,4,6,0,1
366,Gumla,Total,942,4,3,"1,88,988","10,25,213","5,14,390","5,10,823",5360.0,191,242,13,11,0,1
367,Simdega,Total,449,1,1,"1,18,288","5,99,578","3,00,309","2,99,269",3774.0,159,162,7,7,0,1
370,Bargarh,Total,"1,179",27,8,"3,70,308","14,81,255","7,49,161","7,32,094",5837.0,254,204,46,14,1,1
371,Jharsuguda,Total,347,4,5,"1,36,061","5,79,505","2,96,690","2,82,815",2114.0,274,66,15,6,0,1
372,Sambalpur,Total,"1,229",84,6,"2,49,597","10,41,099","5,26,877","5,14,222",6624.0,157,167,31,11,2,1
374,Sundargarh,Total,"1,713",49,14,"4,79,109","20,93,437","10,61,147","10,32,290",9712.0,216,390,56,20,2,2
376,Mayurbhanj,Total,"3,751",199,5,"5,86,253","25,19,738","12,56,213","12,63,525",10418.0,242,589,82,28,3,1
378,Bhadrak,Total,"1,250",62,4,"3,06,333","15,06,337","7,60,260","7,46,077",2505.0,601,178,50,7,0,1
379,Kendrapara ,Total,"1,415",132,2,"3,21,934","14,40,361","7,17,814","7,22,547",2644.0,545,227,45,9,0,1
380,Jagatsinghapur ,Total,"1,223",69,4,"2,61,307","11,36,971","5,77,865","5,59,106",1668.0,682,189,37,9,0,1
381,Cuttack,Total,"1,854",96,11,"5,79,170","26,24,470","13,52,760","12,71,710",3932.0,667,332,57,18,2,1
382,Jajapur  ,Total,"1,598",185,8,"4,07,851","18,27,192","9,26,034","9,01,158",2899.0,630,260,56,12,0,1
384,Anugul  ,Total,"1,654",217,18,"2,97,050","12,73,821","6,55,718","6,18,103",6375.0,200,166,31,10,3,1
386,Khordha ,Total,"1,356",178,13,"4,94,212","22,51,673","11,67,137","10,84,536",2813.0,800,202,46,13,0,2
387,Puri,Total,"1,600",107,6,"3,67,269","16,98,730","8,65,380","8,33,350",3479.0,488,241,45,16,0,1
388,Ganjam,Total,"2,783",412,39,"7,58,267","35,29,031","17,79,218","17,49,813",8206.0,430,460,89,30,2,1
389,Gajapati,Total,"1,499",113,5,"1,28,523","5,77,817","2,82,882","2,94,935",4325.0,134,136,20,8,0,1
390,Kandhamal,Total,"2,417",170,4,"1,72,022","7,33,110","3,59,945","3,73,165",8021.0,91,172,36,14,1,1
391,Baudh,Total,"1,117",70,1,"1,06,961","4,41,162","2,21,625","2,19,537",3098.0,142,67,12,5,0,1
393,Balangir,Total,"1,751",32,8,"4,14,749","16,48,997","8,30,097","8,18,900",6575.0,251,226,42,15,2,1
394,Nuapada,Total,656,12,2,"1,52,210","6,10,382","3,01,962","3,08,420",3852.0,158,95,17,6,0,1
395,Kalahandi,Total,"2,116",137,5,"4,01,251","15,76,869","7,87,101","7,89,768",7920.0,199,242,43,16,1,1
396,Rayagada  ,Total,"2,468",197,7,"2,26,144","9,67,911","4,71,960","4,95,951",7073.0,137,235,36,11,1,1
398,Koraput,Total,"1,941",101,7,"3,37,677","13,79,647","6,78,809","7,00,838",8807.0,157,307,48,16,1,1
399,Malkangiri  ,Total,995,60,3,"1,37,599","6,13,192","3,03,624","3,09,568",5791.0,106,158,25,8,0,1
400,Koriya,Total,623,13,8,"1,53,274","6,58,917","3,34,737","3,24,180",6604.0,100,181,27,5,0,1
401,Surguja,Total,"1,746",4,16,"5,26,049","23,59,886","11,93,129","11,66,757",15732.0,150,591,81,19,0,1
402,Jashpur ,Total,754,1,5,"1,92,570","8,51,669","4,24,747","4,26,922",5838.0,146,256,33,8,0,1
403,Raigarh,Total,"1,426",40,10,"3,67,962","14,93,984","7,50,278","7,43,706",7086.0,211,338,51,9,0,1
404,Korba ,Total,707,12,7,"2,80,073","12,06,640","6,12,915","5,93,725",6598.0,183,256,37,4,0,1
406,Bilaspur,Total,"1,566",33,20,"6,00,822","26,63,629","13,51,574","13,12,055",8272.0,322,381,79,10,0,1
406,Bilaspur,Total,"1,566",33,20,"6,00,822","26,63,629","13,51,574","13,12,055",8272.0,322,114,30,6,0,0
409,Durg,Total,"1,761",12,25,"7,01,707","33,43,872","16,82,101","16,61,771",8535.0,392,444,73,15,0,1
410,Raipur,Total,"2,094",55,26,"8,71,225","40,63,872","20,48,186","20,15,686",12383.0,328,572,69,18,0,1
411,Mahasamund,Total,"1,112",33,6,"2,48,561","10,32,754","5,11,967","5,20,787",4790.0,216,219,28,4,0,1
412,Dhamtari ,Total,619,30,6,"1,70,951","7,99,781","3,97,897","4,01,884",4084.0,196,178,22,4,0,1
414,Bastar,Total,"1,128",22,6,"3,11,538","14,13,199","6,98,487","7,14,712",10470.0,135,405,58,11,0,0
417,Bijapur,Total,565,129,3,"54,757","2,55,230","1,28,663","1,26,567",8530.0,30,90,12,4,0,1
417,Bijapur,Total,565,129,3,"54,757","2,55,230","1,28,663","1,26,567",8530.0,30,309,68,8,4,1
418,Sheopur ,Total,516,66,3,"1,46,043","6,87,861","3,61,784","3,26,077",6606.0,104,90,9,3,0,1
420,Bhind,Total,890,47,12,"2,99,233","17,03,005","9,26,843","7,76,162",4459.0,382,186,20,7,0,1
421,Gwalior,Total,618,37,11,"3,83,845","20,32,036","10,90,327","9,41,709",4560.0,446,101,15,2,4,1
422,Datia,Total,586,45,5,"1,60,215","7,86,754","4,20,157","3,66,597",2902.0,271,95,10,3,2,1
423,Shivpuri,Total,"1,305",112,7,"3,59,969","17,26,050","9,19,795","8,06,255",10066.0,171,249,12,8,0,1
424,Tikamgarh,Total,878,85,13,"2,96,116","14,45,166","7,60,355","6,84,811",5048.0,286,156,20,7,0,1
425,Chhatarpur,Total,"1,085",102,16,"3,56,297","17,62,375","9,36,121","8,26,254",8687.0,203,192,37,10,0,1
427,Sagar,Total,"1,901",174,20,"5,17,850","23,78,458","12,56,257","11,22,201",10252.0,232,245,27,11,1,1
428,Damoh,Total,"1,176",34,9,"2,97,608","12,64,219","6,61,873","6,02,346",7306.0,173,163,14,6,1,1
430,Rewa,Total,"2,408",311,13,"5,26,065","23,65,106","12,25,100","11,40,006",6314.0,375,285,28,11,1,1
431,Umaria,Total,594,59,7,"1,45,024","6,44,758","3,30,674","3,14,084",4076.0,158,89,12,3,0,1
432,Neemuch ,Total,675,123,10,"1,79,746","8,26,067","4,22,653","4,03,414",4256.0,194,104,16,3,2,1
434,Ratlam,Total,"1,053",16,10,"2,96,683","14,55,069","7,38,241","7,16,828",4861.0,299,158,25,5,2,1
435,Ujjain,Total,"1,095",6,9,"3,91,438","19,86,864","10,16,289","9,70,575",6091.0,326,172,22,5,6,1
436,Shajapur,Total,"1,071",36,13,"3,00,025","15,12,681","7,80,520","7,32,161",6195.0,244,174,19,7,4,1
437,Dewas,Total,"1,057",57,13,"3,08,871","15,63,715","8,05,359","7,58,356",7020.0,223,180,22,6,1,1
438,Dhar,Total,"1,477",58,13,"4,25,914","21,85,793","11,12,725","10,73,068",8153.0,268,399,46,15,0,1
439,Indore,Total,614,15,24,"6,49,540","32,76,697","16,99,627","15,77,070",3898.0,841,111,25,4,3,1
442,Rajgarh,Total,"1,677",51,13,"3,45,297","15,45,814","7,90,212","7,55,602",6153.0,251,166,29,5,3,1
443,Vidisha,Total,"1,536",78,7,"2,99,676","14,58,875","7,69,568","6,89,307",7371.0,198,146,21,7,2,1
444,Bhopal,Total,501,18,3,"5,01,805","23,71,061","12,36,130","11,34,931",2772.0,855,63,10,3,2,1
445,Sehore,Total,"1,031",41,8,"2,57,311","13,11,332","6,83,743","6,27,589",6578.0,199,154,15,8,1,1
446,Raisen,Total,"1,424",61,12,"2,78,895","13,31,597","7,00,358","6,31,239",8466.0,157,176,19,8,1,1
447,Betul,Total,"1,344",55,10,"3,29,832","15,75,362","7,99,236","7,76,126",10043.0,157,263,33,10,0,1
448,Harda ,Total,511,56,3,"1,13,379","5,70,465","2,94,838","2,75,627",3334.0,171,56,6,4,0,1
449,Hoshangabad,Total,921,40,12,"2,57,199","12,41,350","6,48,725","5,92,625",6703.0,185,152,15,6,2,1
450,Katni ,Total,905,42,4,"2,89,551","12,92,042","6,62,013","6,30,029",4950.0,261,156,17,6,1,1
451,Jabalpur,Total,"1,377",47,24,"5,39,060","24,63,289","12,77,278","11,86,011",5211.0,473,185,22,5,3,1
453,Dindori ,Total,901,23,2,"1,69,630","7,04,524","3,51,913","3,52,611",7470.0,94,160,23,7,0,1
454,Mandla,Total,"1,203",18,8,"2,50,146","10,54,905","5,25,272","5,29,633",5800.0,182,248,30,9,0,1
455,Chhindwara,Total,"1,906",59,24,"4,43,361","20,90,922","10,64,468","10,26,454",11815.0,177,341,67,13,2,1
456,Seoni,Total,"1,579",8,6,"3,14,767","13,79,131","6,95,879","6,83,252",8758.0,157,263,30,7,1,1
457,Balaghat,Total,"1,272",112,13,"3,91,836","17,01,698","8,42,178","8,59,520",9229.0,184,236,36,9,1,1
460,Shahdol,Total,814,30,8,"2,51,452","10,66,063","5,40,021","5,26,042",6205.0,172,194,28,7,1,1
462,Sidhi,Total,"1,025",30,4,"2,38,448","11,27,033","5,75,912","5,51,121",4851.0,232,145,25,6,0,1
464,Jhabua,Total,783,30,5,"1,94,157","10,25,048","5,15,023","5,10,025",3600.0,285,190,19,7,0,1
465,Alirajpur,Total,538,5,4,"1,23,800","7,28,999","3,62,542","3,66,457",3182.0,229,152,15,5,0,1
467,Burhanpur,Total,261,2,3,"1,46,341","7,57,847","3,88,504","3,69,343",3427.0,221,97,13,4,0,1
470,Patan  ,Total,517,0,6,"2,67,633","13,43,734","6,94,397","6,49,337",5792.0,232,210,29,13,1,1
472,Sabar Kantha,Total,"1,364",12,15,"4,81,414","24,28,589","12,44,231","11,84,358",7394.0,328,413,63,21,1,1
474,Ahmadabad,Total,506,6,13,"15,10,134","72,14,225","37,88,051","34,26,174",8107.0,890,279,44,11,0,1
476,Rajkot,Total,833,2,23,"7,86,586","38,04,558","19,74,445","18,30,113",11198.0,340,330,45,18,5,1
478,Porbandar ,Total,179,3,6,"1,24,556","5,85,449","3,00,209","2,85,240",2316.0,253,85,10,3,0,1
480,Amreli,Total,614,2,10,"2,94,837","15,14,190","7,71,049","7,43,141",7397.0,205,247,37,14,2,1
483,Kheda,Total,615,3,12,"4,66,856","22,99,885","11,85,727","11,14,158",3953.0,582,317,50,12,1,1
484,Panch Mahals,Total,"1,198",12,9,"4,46,611","23,90,776","12,26,961","11,63,815",5231.0,457,400,65,14,2,1
486,Vadodara,Total,"1,533",4,25,"8,77,106","41,65,626","21,53,736","20,11,890",7546.0,552,465,79,16,0,1
488,Bharuch,Total,647,6,21,"3,33,483","15,51,019","8,05,707","7,45,312",6509.0,238,200,38,7,0,1
491,Valsad,Total,433,1,28,"3,64,403","17,05,678","8,87,222","8,18,456",3008.0,567,330,41,10,2,1
492,Surat,Total,690,23,22,"13,33,200","60,81,322","34,02,224","26,79,098",4549.0,"1,337",375,51,13,0,0
493,Tapi,Total,451,37,4,"1,77,091","8,07,022","4,02,188","4,04,834",3139.0,257,226,30,5,0,1
494,Diu,Total,4,0,1,"10,580","52,074","25,642","26,432",39.0,"1,335",6,1,1,0,1
495,Daman,Total,15,0,7,"50,376","1,91,173","1,24,659","66,514",72.0,"2,655",20,2,1,0,1
498,Dhule,Total,674,4,8,"4,08,874","20,50,862","10,54,031","9,96,831",7195.0,285,232,41,6,3,0
499,Jalgaon,Total,"1,487",26,20,"9,03,643","42,29,917","21,97,365","20,32,552",11765.0,360,442,77,17,3,1
501,Akola,Total,864,122,12,"3,95,690","18,13,906","9,32,334","8,81,572",5672.81,320,178,30,5,1,0
502,Washim,Total,698,91,4,"2,59,464","11,97,160","6,20,302","5,76,858",4901.19,244,153,25,7,0,1
503,Amravati,Total,"1,637",360,12,"6,47,451","28,88,445","14,80,768","14,07,677",12210.0,237,333,56,9,4,1
504,Wardha,Total,973,403,13,"3,09,846","13,00,774","6,68,385","6,32,389",6309.0,206,181,27,6,2,1
506,Bhandara,Total,771,93,12,"2,78,076","12,00,334","6,05,520","5,94,814",4087.0,294,193,33,7,2,1
507,Gondiya,Total,883,59,10,"2,92,369","13,22,507","6,61,554","6,60,953",5234.0,253,238,39,10,1,1
508,Gadchiroli,Total,"1,509",166,6,"2,50,435","10,72,942","5,41,328","5,31,614",14412.0,74,376,45,9,3,1
509,Chandrapur,Total,"1,463",329,23,"5,36,686","22,04,307","11,23,834","10,80,473",11443.0,193,339,58,11,2,1
510,Yavatmal,Total,"1,853",284,18,"6,46,886","27,72,348","14,19,965","13,52,383",13582.0,204,435,63,14,3,0
512,Hingoli,Total,675,36,3,"2,28,868","11,77,345","6,06,294","5,71,051",4827.0,244,132,24,3,1,1
513,Parbhani,Total,830,13,8,"3,61,130","18,36,086","9,42,870","8,93,216",6214.0,295,214,31,6,2,1
517,Thane,Total,"1,704",17,51,"25,29,165","1,10,60,148","58,65,078","51,95,070",9558.0,"1,157",492,78,14,6,1
520,Raigarh,Total,"1,860",49,42,"6,11,790","26,34,200","13,44,345","12,89,855",7152.0,368,338,51,9,0,1
521,Pune,Total,"1,852",25,35,"21,51,503","94,29,408","49,24,105","45,05,303",15643.0,603,539,96,21,3,1
524,Latur,Total,928,20,7,"4,81,572","24,54,196","12,73,140","11,81,056",7157.0,343,252,46,10,2,0
526,Solapur,Total,"1,143",11,13,"8,73,167","43,17,756","22,27,852","20,89,904",14895.0,290,431,77,13,3,0
527,Satara,Total,"1,719",26,22,"6,53,735","30,03,741","15,10,842","14,92,899",10480.0,287,400,71,15,2,1
529,Sindhudurg,Total,740,8,8,"2,09,839","8,49,651","4,17,332","4,32,319",5207.0,163,248,38,7,3,1
530,Kolhapur,Total,"1,195",21,23,"8,40,240","38,76,001","19,80,658","18,95,343",7685.0,504,413,72,16,4,0
531,Sangli,Total,725,3,7,"5,98,386","28,22,143","14,35,728","13,86,415",8572.0,329,320,59,12,2,0
532,Adilabad,Total,"1,590",135,22,"6,49,849","27,41,239","13,69,597","13,71,642",16105.0,170,470,70,13,2,0
533,Nizamabad,Total,847,65,8,"5,93,234","25,51,335","12,50,641","13,00,694",7956.0,321,412,50,14,3,1
535,Medak,Total,"1,201",30,24,"6,68,626","30,33,288","15,23,030","15,10,258",9699.0,313,489,67,8,3,1
536,Hyderabad,Total,0,0,3,"8,49,051","39,43,323","20,18,575","19,24,748",217.0,"18,172",53,10,0,4,1
540,Warangal,Total,961,88,15,"8,86,279","35,12,576","17,59,281","17,53,295",12846.0,273,605,69,14,2,0
541,Khammam,Total,"1,103",120,14,"7,54,034","27,97,370","13,90,988","14,06,382",16029.0,175,591,69,13,2,1
542,Srikakulam,Total,"1,701",101,12,"6,81,330","27,03,114","13,41,738","13,61,376",5837.0,463,488,86,14,2,0
545,East Godavari,Total,"1,312",62,19,"14,28,528","51,54,296","25,69,688","25,84,608",10807.0,477,809,96,20,3,1
546,West Godavari,Total,842,39,13,"10,91,525","39,36,966","19,64,918","19,72,048",7742.0,509,643,70,15,3,1
548,Guntur,Total,691,21,14,"12,96,609","48,87,813","24,40,521","24,47,292",11391.0,429,689,74,16,2,1
549,Prakasam,Total,985,96,13,"8,60,463","33,97,448","17,14,764","16,82,684",17626.0,193,555,85,14,3,0
552,Kurnool,Total,870,28,12,"8,87,652","40,53,463","20,39,227","20,14,236",17658.0,230,576,88,18,1,1
554,Chittoor,Total,"1,455",38,22,"10,39,953","41,74,064","20,90,204","20,83,860",15152.0,275,653,94,9,5,1
555,Belgaum,Total,"1,263",12,31,"9,83,854","47,79,661","24,23,063","23,56,598",13433.0,356,549,154,16,9,1
556,Bagalkot ,Total,613,11,15,"3,61,149","18,89,752","9,50,111","9,39,641",6552.0,288,234,50,7,5,1
557,Bijapur,Total,679,13,6,"4,08,806","21,77,331","11,11,022","10,66,309",10498.0,207,90,12,4,0,1
557,Bijapur,Total,679,13,6,"4,08,806","21,77,331","11,11,022","10,66,309",10498.0,207,309,68,8,4,1
558,Bidar,Total,595,25,7,"3,19,937","17,03,300","8,70,665","8,32,635",5448.0,313,279,53,6,4,1
559,Raichur,Total,815,69,9,"3,63,853","19,28,812","9,64,511","9,64,301",8442.0,228,223,53,5,4,1
560,Koppal,Total,595,34,5,"2,64,595","13,89,920","6,99,926","6,89,994",5570.0,250,185,47,8,3,1
561,Gadag,Total,322,15,9,"2,19,096","10,64,570","5,37,147","5,27,423",4657.0,229,168,37,2,4,1
562,Dharwad,Total,361,18,6,"3,82,700","18,47,023","9,37,206","9,09,817",4260.0,434,194,32,0,3,1
564,Haveri,Total,696,7,10,"3,30,414","15,97,668","8,19,128","7,78,540",4823.0,331,303,72,5,6,1
565,Bellary,Total,522,30,13,"4,89,118","24,52,595","12,36,954","12,15,641",8461.0,290,272,75,8,6,1
566,Chitradurga,Total,948,115,8,"3,57,003","16,59,456","8,40,843","8,18,613",8436.0,197,283,89,10,5,1
568,Shimoga,Total,"1,444",86,9,"4,06,816","17,52,753","8,77,415","8,75,338",8478.0,207,305,91,5,6,1
569,Udupi,Total,233,0,20,"2,53,078","11,77,361","5,62,131","6,15,230",3582.0,329,301,73,7,2,1
570,Chikmagalur,Total,"1,022",95,9,"2,76,085","11,37,961","5,66,622","5,71,339",7202.0,158,375,92,4,6,1
571,Tumkur,Total,"2,582",133,12,"6,40,081","26,78,980","13,50,594","13,28,386",10597.0,253,487,143,4,9,1
573,Mandya,Total,"1,368",109,9,"4,28,625","18,05,769","9,05,085","9,00,684",4962.0,364,385,114,7,6,1
574,Hassan,Total,"2,418",156,11,"4,33,453","17,76,421","8,83,667","8,92,754",6814.0,261,456,137,14,7,1
576,Kodagu,Total,291,5,5,"1,42,716","5,54,519","2,74,608","2,79,911",4102.0,135,206,32,6,2,1
577,Mysore,Total,"1,199",137,19,"7,00,968","30,01,127","15,11,600","14,89,527",6307.0,476,438,140,9,6,0
579,Gulbarga,Total,871,47,11,"4,71,601","25,66,326","13,01,755","12,64,571",10954.0,234,347,89,16,6,1
580,Yadgir,Total,487,26,7,"2,02,063","11,74,271","5,90,329","5,83,942",5270.0,223,176,46,5,2,1
581,Kolar,Total,"1,608",189,7,"3,33,348","15,36,401","7,76,396","7,60,005",3979.0,386,275,62,2,4,2
583,Bangalore Rural,Total,957,94,7,"2,29,279","9,90,923","5,09,172","4,81,751",2298.0,431,167,47,1,4,0
585,North Goa,Total,188,6,47,"1,91,766","8,18,008","4,16,677","4,01,331",1736.0,471,104,11,3,0,1
586,South Goa,Total,132,8,23,"1,51,845","6,40,537","3,22,463","3,18,074",1966.0,326,71,8,2,0,1
587,Lakshadweep,Total,6,15,6,"11,574","64,473","33,123","31,350",30.0,"2,149",14,4,3,1,1
588,Kasaragod,Total,93,0,27,"2,73,410","13,07,375","6,28,613","6,78,762",1989.0,657,220,40,9,2,0
589,Kannur,Total,56,0,67,"5,54,298","25,23,003","11,81,446","13,41,557",2961.0,852,362,81,10,4,0
591,Kozhikode,Total,51,0,51,"6,97,710","30,86,293","14,70,942","16,15,351",2345.0,"1,316",354,61,16,4,0
592,Malappuram,Total,83,0,44,"7,93,999","41,12,920","19,60,328","21,52,592",3554.0,"1,157",514,84,21,2,0
593,Palakkad,Total,131,0,21,"6,37,220","28,09,934","13,59,478","14,50,456",4482.0,627,441,74,18,4,0
594,Thrissur,Total,98,0,135,"7,59,210","31,21,200","14,80,763","16,40,437",3027.0,"1,031",413,75,24,3,0
596,Idukki ,Total,64,0,1,"2,79,812","11,08,974","5,52,808","5,56,166",4356.0,255,276,40,14,3,0
