Year,District,Total cases,Total deaths,District code,No:of villages inhabited,No:of villages uninhabited,Number of towns,Number of households,Total population,Males,Females,Area(In sq . km),Population per sq . Km,Number of Sub Centres,Number of  Primary Health Centres,Number of Community Health Centres,Sub Divisional Hospital,District Hospital,Percent_Female,Avg_Household_Size,Total_Health_Facilities,Total_Hospitals,Facilities_Per_100k,Hospitals_Per_100k,Percent_Male,Population_Density in sq km,Total cases_Lag_1Y,Total cases_Lag_2Y,Total deaths_Lag_1Y,Total deaths_Lag_2Y
2002,Adilabad,1360,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,1818,1798,0,2
2003,Adilabad,900,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,1360,1818,0,0
2004,Adilabad,758,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,900,1360,0,0
2005,Adilabad,845,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,758,900,0,0
2006,Adilabad,902,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,845,758,0,0
2007,Adilabad,2165,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,902,845,0,0
2008,Adilabad,1882,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,2165,902,0,0
2009,Adilabad,614,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,1882,2165,0,0
2010,Adilabad,612,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,614,1882,0,0
2011,Adilabad,1162,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,612,614,0,0
2012,Adilabad,707,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,1162,612,0,0
2013,Adilabad,995,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,707,1162,0,0
2015,Adilabad,1498,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,995,707,0,0
2016,Adilabad,7874,2,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,1498,995,0,0
2017,Adilabad,1213,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,7874,1498,2,0
2018,Adilabad,58,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,1213,7874,0,2
2019,Adilabad,7,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,58,1213,0,0
2020,Adilabad,1,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,7,58,0,0
2021,Adilabad,9,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,1,7,0,0
2022,Adilabad,2,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,9,1,0,0
2023,Adilabad,2,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,2,9,0,0
2024,Adilabad,2,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,2,2,0,0
2003,Agra,408,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,578,328,0,0
2004,Agra,663,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,408,578,0,0
2005,Agra,439,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,663,408,0,0
2006,Agra,267,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,439,663,0,0
2007,Agra,332,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,267,439,0,0
2008,Agra,215,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,332,267,0,0
2009,Agra,225,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,215,332,0,0
2010,Agra,182,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,225,215,0,0
2011,Agra,164,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,182,225,0,0
2012,Agra,151,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,164,182,0,0
2013,Agra,113,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,151,164,0,0
2014,Agra,115,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,113,151,0,0
2015,Agra,91,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,115,113,0,0
2016,Agra,97,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,91,115,0,0
2017,Agra,98,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,97,91,0,0
2018,Agra,83,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,98,97,0,0
2019,Agra,82,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,83,98,0,0
2020,Agra,81,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,82,83,0,0
2021,Agra,25,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,81,82,0,0
2022,Agra,31,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,25,81,0,0
2023,Agra,11,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,31,25,0,0
2024,Agra,35,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,11,31,0,0
2002,Ahmadabad,1706,0,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,3572,910,0,0
2003,Ahmadabad,2320,2,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,1706,3572,0,0
2004,Ahmadabad,3782,8,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,2320,1706,2,0
2005,Ahmadabad,3515,4,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,3782,2320,8,2
2006,Ahmadabad,1674,1,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,3515,3782,4,8
2007,Ahmadabad,538,1,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,1674,3515,1,4
2008,Ahmadabad,309,1,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,538,1674,1,1
2009,Ahmadabad,241,0,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,309,538,1,1
2010,Ahmadabad,345,0,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,241,309,0,1
2011,Ahmadabad,638,3,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,345,241,0,0
2012,Ahmadabad,621,0,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,638,345,3,0
2013,Ahmadabad,513,1,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,621,638,0,3
2014,Ahmadabad,304,0,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,513,621,1,0
2015,Ahmadabad,252,1,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,304,513,0,1
2016,Ahmadabad,280,0,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,252,304,1,0
2017,Ahmadabad,203,0,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,280,252,0,1
2018,Ahmadabad,134,0,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,203,280,0,0
2019,Ahmadabad,58,0,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,134,203,0,0
2020,Ahmadabad,20,0,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,58,134,0,0
2021,Ahmadabad,5,0,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,20,58,0,0
2022,Ahmadabad,5,0,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,5,20,0,0
2023,Ahmadabad,2,0,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,5,5,0,0
2024,Ahmadabad,90,0,474,506,6,13,1510134,7214225,3788051,3426174,8107,890,279,44,11,0,1,47.49192048,4.777208513,334,1,4.629741933,0.013861503,52.50807952,890,2,5,0,0
2003,Ajmer,2399,1,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,4471,1041,1,1
2004,Ajmer,2446,11,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,2399,4471,1,1
2005,Ajmer,2767,11,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,2446,2399,11,1
2006,Ajmer,1865,0,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,2767,2446,11,11
2007,Ajmer,2484,7,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,1865,2767,0,11
2008,Ajmer,1686,2,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,2484,1865,7,0
2009,Ajmer,1413,5,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,1686,2484,2,7
2010,Ajmer,746,3,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,1413,1686,5,2
2011,Ajmer,931,0,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,746,1413,3,5
2012,Ajmer,1996,4,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,931,746,0,3
2013,Ajmer,1309,2,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,1996,931,4,0
2014,Ajmer,729,0,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,1309,1996,2,4
2015,Ajmer,314,0,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,729,1309,0,2
2016,Ajmer,261,0,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,314,729,0,0
2017,Ajmer,148,0,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,261,314,0,0
2018,Ajmer,141,0,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,148,261,0,0
2019,Ajmer,35,0,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,141,148,0,0
2020,Ajmer,20,0,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,35,141,0,0
2021,Ajmer,4,0,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,20,35,0,0
2022,Ajmer,5,0,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,4,20,0,0
2023,Ajmer,4,0,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,5,4,0,0
2024,Ajmer,14,0,119,1099,12,11,494832,2583052,1324085,1258967,8481,305,290,43,11,2,2,48.73951434,5.220058525,344,4,13.31757936,0.154855574,51.26048566,305,4,5,0,0
2002,Akola,357,0,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,367,1106,0,1
2003,Akola,479,1,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,357,367,0,0
2004,Akola,334,1,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,479,357,1,0
2005,Akola,301,1,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,334,479,1,1
2006,Akola,273,0,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,301,334,1,1
2007,Akola,246,0,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,273,301,0,1
2008,Akola,216,0,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,246,273,0,0
2009,Akola,178,0,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,216,246,0,0
2010,Akola,252,1,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,178,216,0,0
2011,Akola,240,1,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,252,178,1,0
2012,Akola,218,0,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,240,252,1,1
2013,Akola,149,0,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,218,240,0,1
2014,Akola,196,0,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,149,218,0,0
2015,Akola,179,0,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,196,149,0,0
2016,Akola,92,0,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,179,196,0,0
2017,Akola,53,0,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,92,179,0,0
2018,Akola,36,0,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,53,92,0,0
2019,Akola,11,0,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,36,53,0,0
2020,Akola,9,0,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,11,36,0,0
2021,Akola,35,0,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,9,11,0,0
2022,Akola,56,0,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,35,9,0,0
2023,Akola,6,0,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,56,35,0,0
2024,Akola,2,0,501,864,122,12,395690,1813906,932334,881572,5672.81,320,178,30,5,1,0,48.60075439,4.584159317,213,1,11.74261511,0.055129648,51.39924561,320,6,56,0,0
2002,Alappuzha,319,0,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,318,342,1,1
2003,Alappuzha,210,0,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,319,318,0,1
2004,Alappuzha,218,3,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,210,319,0,0
2005,Alappuzha,260,1,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,218,210,3,0
2006,Alappuzha,220,0,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,260,218,1,3
2007,Alappuzha,152,0,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,220,260,0,1
2008,Alappuzha,136,2,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,152,220,0,0
2009,Alappuzha,118,0,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,136,152,2,0
2010,Alappuzha,115,0,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,118,136,0,2
2011,Alappuzha,119,0,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,115,118,0,0
2012,Alappuzha,123,0,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,119,115,0,0
2013,Alappuzha,77,0,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,123,119,0,0
2014,Alappuzha,81,0,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,77,123,0,0
2015,Alappuzha,83,0,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,81,77,0,0
2016,Alappuzha,49,0,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,83,81,0,0
2017,Alappuzha,24,0,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,49,83,0,0
2018,Alappuzha,24,0,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,24,49,0,0
2019,Alappuzha,13,0,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,24,24,0,0
2020,Alappuzha,10,0,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,13,24,0,0
2021,Alappuzha,22,0,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,10,13,0,0
2022,Alappuzha,30,0,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,22,10,0,0
2023,Alappuzha,24,1,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,30,22,0,0
2024,Alappuzha,6,0,598,51,1,38,535958,2127789,1013142,1114647,1415,1504,324,56,16,4,0,52.38522241,3.970066684,396,4,18.6108679,0.187988565,47.61477759,1504,24,30,1,0
2003,Aligarh,820,0,143,1170,29,24,611371,3673889,1951996,1721893,3650,1007,351,60,11,0,0,46.86840022,6.009262788,422,0,11.4864657,0,53.13159978,1007,1050,1523,0,0
2004,Aligarh,1041,0,143,1170,29,24,611371,3673889,1951996,1721893,3650,1007,351,60,11,0,0,46.86840022,6.009262788,422,0,11.4864657,0,53.13159978,1007,820,1050,0,0
2005,Aligarh,864,0,143,1170,29,24,611371,3673889,1951996,1721893,3650,1007,351,60,11,0,0,46.86840022,6.009262788,422,0,11.4864657,0,53.13159978,1007,1041,820,0,0
2006,Aligarh,1736,0,143,1170,29,24,611371,3673889,1951996,1721893,3650,1007,351,60,11,0,0,46.86840022,6.009262788,422,0,11.4864657,0,53.13159978,1007,864,1041,0,0
2007,Aligarh,1454,0,143,1170,29,24,611371,3673889,1951996,1721893,3650,1007,351,60,11,0,0,46.86840022,6.009262788,422,0,11.4864657,0,53.13159978,1007,1736,864,0,0
2008,Aligarh,1261,0,143,1170,29,24,611371,3673889,1951996,1721893,3650,1007,351,60,11,0,0,46.86840022,6.009262788,422,0,11.4864657,0,53.13159978,1007,1454,1736,0,0
2009,Aligarh,1800,0,143,1170,29,24,611371,3673889,1951996,1721893,3650,1007,351,60,11,0,0,46.86840022,6.009262788,422,0,11.4864657,0,53.13159978,1007,1261,1454,0,0
2010,Aligarh,730,0,143,1170,29,24,611371,3673889,1951996,1721893,3650,1007,351,60,11,0,0,46.86840022,6.009262788,422,0,11.4864657,0,53.13159978,1007,1800,1261,0,0
