Year,District,Total cases,Total deaths,District code,No:of villages inhabited,No:of villages uninhabited,Number of towns,Number of households,Total population,Males,Females,Area(In sq . km),Population per sq . Km,Number of Sub Centres,Number of  Primary Health Centres,Number of Community Health Centres,Sub Divisional Hospital,District Hospital,Percent_Female,Avg_Household_Size,Total_Health_Facilities,Total_Hospitals,Facilities_Per_100k,Hospitals_Per_100k,Percent_Male,Population_Density in sq km
2000,Lower Subansiri,273.0,0.0,255.0,536.0,42.0,1.0,15249.0,83030.0,41843.0,41187.0,3508.0,24.0,0.0,0.0,0.0,0.0,1.0,49.60496206190533,5.444947209653092,0.0,1.0,0.0,1.2043839576056847,50.39503793809467,24.0
2000,Papum Pare,3708.0,0.0,248.0,455.0,30.0,3.0,35730.0,176573.0,89182.0,87391.0,3462.0,51.0,0.0,0.0,0.0,0.0,1.0,49.49284431934667,4.94186957738595,0.0,1.0,0.0,0.5663380018462619,50.50715568065333,51.0
2000,Tirap,3122.0,0.0,254.0,189.0,1.0,3.0,20611.0,111975.0,57604.0,54371.0,2362.0,47.0,0.0,0.0,0.0,0.0,1.0,48.55637419066756,5.432778613361797,0.0,1.0,0.0,0.8930564858227282,51.44362580933244,47.0
2000,Upper Siang,474.0,0.0,252.0,98.0,14.0,1.0,7324.0,35320.0,18699.0,16621.0,6590.0,5.0,0.0,0.0,0.0,0.0,1.0,47.05832389580974,4.822501365374112,0.0,1.0,0.0,2.831257078142696,52.94167610419026,5.0
2000,Upper Subansiri,652.0,0.0,249.0,543.0,10.0,1.0,15869.0,83448.0,41758.0,41690.0,7032.0,12.0,0.0,0.0,0.0,0.0,1.0,49.95925606365641,5.2585544142668095,0.0,1.0,0.0,1.1983510689291534,50.04074393634359,12.0
2000,West Kameng,452.0,0.0,246.0,260.0,23.0,3.0,18159.0,83947.0,46155.0,37792.0,7422.0,11.0,0.0,0.0,0.0,0.0,1.0,45.0188809606061,4.622886722837161,0.0,1.0,0.0,1.1912277984919055,54.9811190393939,11.0
2000,West Siang,10111.0,0.0,250.0,444.0,17.0,2.0,21231.0,112274.0,58168.0,54106.0,8325.0,13.0,0.0,0.0,0.0,0.0,1.0,48.19103265226144,5.2882106353916445,0.0,1.0,0.0,0.8906781623528155,51.808967347738566,13.0
2000,Barpeta,1335.0,1.0,303.0,825.0,10.0,9.0,337929.0,1693622.0,867004.0,826618.0,2282.0,742.0,264.0,50.0,7.0,1.0,1.0,48.80770325373667,5.0117687443220325,321.0,2.0,18.95346187047641,0.1180901051120025,51.19229674626333,742.0
2000,Bongaigaon,2649.0,0.0,319.0,535.0,28.0,5.0,150018.0,738804.0,375818.0,362986.0,1093.0,676.0,87.0,30.0,2.0,0.0,1.0,49.13156940135679,4.924769027716674,119.0,1.0,16.1071136593738,0.1353538962972588,50.86843059864321,676.0
2000,Cachar,3896.0,1.0,316.0,998.0,42.0,19.0,379955.0,1736617.0,886284.0,850333.0,3786.0,459.0,269.0,30.0,1.0,0.0,1.0,48.96491281612468,4.570585990446237,300.0,1.0,17.274966213045246,0.0575832207101508,51.03508718387532,459.0
2000,Darrang,15594.0,0.0,325.0,552.0,9.0,3.0,187783.0,928500.0,475273.0,453227.0,1585.0,586.0,163.0,31.0,4.0,0.0,1.0,48.81281637049003,4.944537045419447,198.0,1.0,21.324717285945077,0.1077005923532579,51.18718362950996,586.0
2000,Dhemaji,826.0,0.0,308.0,1264.0,55.0,4.0,129869.0,686133.0,351249.0,334884.0,3237.0,212.0,98.0,21.0,3.0,0.0,1.0,48.8074469527045,5.283270064449561,122.0,1.0,17.780809260012273,0.1457443381968219,51.1925530472955,212.0
2000,Dhubri,2072.0,1.0,301.0,1052.0,39.0,9.0,414674.0,1949258.0,997848.0,951410.0,2176.0,896.0,246.0,44.0,6.0,1.0,1.0,48.80882879536726,4.700699826851936,296.0,2.0,15.185265367642458,0.1026031443759625,51.19117120463274,896.0
2000,Dibrugarh,70.0,0.0,310.0,1318.0,30.0,9.0,276867.0,1326335.0,676434.0,649901.0,3381.0,392.0,231.0,28.0,5.0,0.0,0.0,48.99976250343993,4.790513134465285,264.0,0.0,19.90447360583865,0.0,51.00023749656008,392.0
2000,Goalpara,5178.0,0.0,302.0,779.0,50.0,11.0,198454.0,1008183.0,513292.0,494891.0,1824.0,553.0,151.0,41.0,2.0,0.0,1.0,49.08741766127777,5.080184828726052,194.0,1.0,19.242538309017316,0.0991883417990583,50.91258233872223,553.0
2000,Golaghat,157.0,0.0,313.0,1032.0,93.0,7.0,227197.0,1066888.0,543161.0,523727.0,3502.0,305.0,144.0,42.0,4.0,1.0,1.0,49.08922023680086,4.6958718645052535,190.0,2.0,17.808804673030345,0.187461101821372,50.91077976319913,305.0
2000,Hailakandi,5216.0,0.0,318.0,330.0,1.0,3.0,143350.0,659296.0,337890.0,321406.0,1327.0,497.0,105.0,12.0,2.0,0.0,1.0,48.7498786584478,4.599204743634461,119.0,1.0,18.049555889918945,0.1516769402514197,51.2501213415522,497.0
2000,Jorhat,214.0,0.0,312.0,763.0,85.0,11.0,236262.0,1092256.0,556805.0,535451.0,2851.0,383.0,143.0,41.0,3.0,2.0,0.0,49.02248190900302,4.623070997451982,187.0,2.0,17.120528520786337,0.1831072569068057,50.97751809099699,383.0
2000,Karbi Anglong,16679.0,20.0,314.0,2712.0,209.0,7.0,177646.0,956313.0,490167.0,466146.0,10434.0,92.0,145.0,47.0,5.0,1.0,1.0,48.74408274278401,5.383250959773933,197.0,2.0,20.599950016364936,0.2091365483894917,51.255917257216,92.0
2000,Karimganj,477.0,0.0,317.0,915.0,21.0,7.0,247714.0,1228686.0,625864.0,602822.0,1809.0,679.0,217.0,23.0,1.0,0.0,1.0,49.06233162907366,4.960099146596479,241.0,1.0,19.614449908276,0.081387758955502,50.93766837092634,679.0
2000,Kokrajhar,3688.0,2.0,300.0,1053.0,15.0,4.0,181081.0,887142.0,452905.0,434237.0,3296.0,269.0,159.0,45.0,4.0,1.0,1.0,48.94785727651267,4.899144581706529,208.0,2.0,23.44607740361746,0.2254430519578601,51.052142723487336,269.0
2000,Lakhimpur,2017.0,0.0,307.0,1146.0,38.0,4.0,204307.0,1042137.0,529674.0,512463.0,2277.0,458.0,156.0,28.0,5.0,1.0,1.0,49.1742448449676,5.100838444106174,189.0,2.0,18.135811318473483,0.1919133472854337,50.8257551550324,458.0
